순번,영화명,개봉일,전국관객수
1,명량,2014-07-30,17613682 
2,국제시장,2014-12-17,14245998 
3,아바타,2009-12-17,13624328 
4,베테랑,2015-08-05,13395400 
5,괴물,2006-07-27,13019740 
6,도둑들,2012-07-25,12983330 
7,7번방의 선물,2013-01-23,12811206 
8,암살,2015-07-22,12705700 
9,"광해, 왕이 된 남자",2012-09-13,12319542 
10,왕의 남자,2005-12-29,12302831 
11,택시운전사,2017-08-02,12099541 
12,태극기 휘날리며,2004-02-05,11746135 
13,부산행,2016-07-20,11565078 
14,해운대,2009-07-22,11453338 
15,변호인,2013-12-18,11372451 
16,어벤져스: 에이지 오브 울트론,2015-04-23,10494499 
17,겨울왕국,2014-01-16,10296101 
18,인터스텔라,2014-11-06,10273803 
19,검사외전,2016-02-03,9699092 
20,관상,2013-09-11,9134586 
21,아이언맨 3,2013-04-25,9001309 
22,설국열차,2013-08-01,8914845 
23,실미도,2003-12-24,8801840 
24,캡틴 아메리카: 시빌 워,2016-04-27,8677249 
25,수상한 그녀,2014-01-22,8656397 
26,해적: 바다로 간 산적,2014-08-06,8646758 
27,국가대표,2009-07-29,8487894 
28,디워,2007-08-01,8426973 
29,과속스캔들,2008-12-03,8245523 
30,웰컴 투 동막골,2005-08-04,8008622 
31,공조,2017-01-18,7817459 
32,트랜스포머 3,2011-06-29,7784807 
33,히말라야,2015-12-16,7759473 
34,미션임파서블:고스트프로토콜,2011-12-15,7575899 
35,트랜스포머: 패자의 역습,2009-06-24,7505700 
36,밀정,2016-09-07,7487545 
37,최종병기 활,2011-08-10,7466976 
38,트랜스포머,2007-06-28,7440531 
39,써니,2011-05-04,7328820 
40,화려한 휴가,2007-07-25,7307993 
41,스파이더맨: 홈 커밍,2017-07-05,7258400 
42,베를린,2013-01-30,7166199 
43,마스터,2016-12-21,7147879 
44,터널,2016-08-10,7118592 
45,어벤져스,2012-04-26,7074867 
46,내부자들,2015-11-19,7071763 
47,인천상륙작전,2016-07-27,7049643 
48,럭키,2016-10-13,6965706 
49,은밀하게 위대하게,2013-06-05,6953800 
50,곡성,2016-05-12,6878264 
51,타짜,2006-09-28,6847777 
52,"좋은 놈, 나쁜 놈, 이상한 놈 ",2008-07-17,6686912 
53,늑대소년,2012-10-31,6654837 
54,미녀는 괴로워,2006-12-14,6619498 
55,군함도,2017-07-26,6588316 
56,다크 나이트 라이즈,2012-07-19,6396528 
57,아저씨,2010-08-04,6282774 
58,사도,2015-09-16,6246849 
59,전우치,2009-12-23,6136928 
60,미션 임파서블: 로그네이션,2015-07-30,6126488 
61,킹스맨 : 시크릿 에이전트,2015-02-11,6125154 
62,투사부일체,2006-01-19,6105431 
63,연평해전,2015-06-24,6043458 
64,범죄도시,2017-10-03,5964164 
65,인셉션,2010-07-21,5926948 
66,레미제라블,2012-12-19,5911890 
67,미션 임파서블 3,2006-05-03,5740789 
68,청년경찰,2017-08-09,5636709 
69,가문의 위기(가문의 영광2),2005-09-07,5635266 
70,숨바꼭질,2013-08-14,5602543 
71,덕혜옹주,2016-08-03,5593551 
72,더 테러 라이브,2013-07-31,5583596 
73,쥬라기 월드,2015-06-11,5546792 
74,의형제,2010-02-04,5507106 
75,감시자들,2013-07-03,5496547 
